model name,number,active features,result
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.001
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.994
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.996
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.995
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.981
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.981
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.982
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.98
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.981
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.984
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.979
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.98
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.982
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.984
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.97
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.96
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.988
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.99
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.992
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.972
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.968
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.974
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.966
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.9
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.92
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.04
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.92
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.9
00011,3,"['BURNING_EDGES', 'NODES_IN_DANGER']",0.9
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.994
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.995
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.995
00101,5,"['BURNING_NODES', 'NODES_IN_DANGER']",0.994
